Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
KEN,1/1/1991,12/31/1991,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1991,1991,ha,25,E,
KEN,1/1/1992,12/31/1992,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1992,1992,ha,26,E,
KEN,1/1/1993,12/31/1993,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1993,1993,ha,26,E,
KEN,1/1/1994,12/31/1994,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1994,1994,ha,27,E,
KEN,1/1/1995,12/31/1995,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1995,1995,ha,28,E,
KEN,1/1/1996,12/31/1996,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1996,1996,ha,28,E,
KEN,1/1/1997,12/31/1997,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1997,1997,ha,29,E,
KEN,1/1/1998,12/31/1998,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1998,1998,ha,28,E,
KEN,1/1/1999,12/31/1999,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,1999,1999,ha,29,E,
KEN,1/1/2000,12/31/2000,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2000,2000,ha,26,E,
KEN,1/1/2001,12/31/2001,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2001,2001,ha,29,E,
KEN,1/1/2002,12/31/2002,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2002,2002,ha,30,E,
KEN,1/1/2003,12/31/2003,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2003,2003,ha,31,E,
KEN,1/1/2004,12/31/2004,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2004,2004,ha,32,E,
KEN,1/1/2005,12/31/2005,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2005,2005,ha,33,E,
KEN,1/1/2006,12/31/2006,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2006,2006,ha,34,E,
KEN,1/1/2007,12/31/2007,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2007,2007,ha,35,E,
KEN,1/1/2008,12/31/2008,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2008,2008,ha,36,E,
KEN,1/1/2009,12/31/2009,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2009,2009,ha,36,E,
KEN,1/1/2010,12/31/2010,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2010,2010,ha,37,E,
KEN,1/1/2011,12/31/2011,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2011,2011,ha,38,E,
KEN,1/1/2012,12/31/2012,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2012,2012,ha,39,E,
KEN,1/1/2013,12/31/2013,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2013,2013,ha,44,E,
KEN,1/1/2014,12/31/2014,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2014,2014,ha,42,E,
KEN,1/1/2015,12/31/2015,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2015,2015,ha,40,E,
KEN,1/1/2016,12/31/2016,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2016,2016,ha,42,E,
KEN,1/1/2017,12/31/2017,114,'404,Kenya,809,'01929.07,"Abaca, manila hemp, raw",5312,Area harvested,2017,2017,ha,42,E,
